Cidade	N	y
1	98066	99
2	53637	54
3	46394	80
4	12890	17
5	10975	11
6	7436	13
7	3814	3
8	3461	2
9	3349	1
10	3215	1
11	2708	2
12	2530	4
13	2145	4
14	1823	2
15	1668	2
16	1627	3
17	1407	1
18	1356	0
19	1339	3
20	1209	1
21	1208	1
22	1185	0
23	1104	0
24	1083	0
25	1025	1
26	917	1
27	917	0
28	877	0
29	874	0
30	857	1
31	855	0
32	854	0
33	842	0
34	799	2
35	731	5
36	721	0
37	709	1
38	706	3
39	680	1
40	676	1
41	664	0
42	657	0
43	647	1
44	631	1
45	603	0
46	601	0
47	600	1
48	592	0
49	588	3
50	583	1
51	582	3
52	582	0
53	581	1
54	556	0
55	527	0
56	524	1
57	522	0
58	517	1
59	512	1
60	493	0
61	490	1
62	481	0
63	448	1
64	443	0
65	423	1
66	419	2
67	403	0
68	395	0
69	395	0
70	389	1
71	386	0
72	383	0
73	372	1
74	368	1
75	350	1
76	339	1
77	333	1
78	325	0
79	318	0
80	317	0
81	312	1
82	307	0
83	305	0
84	305	0
